(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
חולון,6600,215,215,2580,,,1,יהודים,89.3,,,35.1,48.6,16.3,1055.7,34,33,35,41,73.9,68.1,31.9,15.7,9,38.3,15,8.2,37.6,0.9,ישראל,25,26,24,1.9,12.3,50,23.1,62.1,92.4,7.1,40,13.8,59.6,105300,17.6,193300,55.3,850,3,21.3,13.5,חילוני,1,1.3,30.9,24.1,35.4,74.6,21.6
חולון,6600,216,216,3910,,,1,יהודים,83.5,,,30.6,47.5,21.9,1106.7,37,34,41,39.4,66.4,66.6,33.4,13.2,5.4,35,18.6,8.6,36.1,1.7,ישראל,25,27,24,2,7.4,24.6,23.7,71.7,88.6,11.4,38.2,18.9,58.6,108800,17.5,67900,8.9,1260,2.9,23,15.5,חילוני,1,1.1,21,27.1,48.3,59.8,34.9
חולון,6600,221,221,1690,,,1,יהודים,100.2,,,27,48.8,24.2,1048.1,40,38,41,35.7,67.3,72.2,27.8,10.8,5.7,40.1,19.7,6.6,32.2,1.3,ישראל,26,27,24,2,12.8,39.9,27.5,64,91.1,8.5,41.6,,57.4,125100,20.7,37700,21.7,620,2.6,14.6,14.5,חילוני,1,1.4,10.6,27.7,88.7,68.3,27.8
חולון,6600,222,222,2080,,,1,יהודים,89.2,,,29.1,49.4,21.5,1022.4,40,39,41,27.2,63.5,79.7,20.3,12.9,6.3,44.2,22.5,9,22.3,1.9,ישראל,25,27,23,1.9,12,40.3,21.2,62.6,85.4,14.6,39,7.7,59.4,129100,26.5,103600,16.4,770,2.7,13.1,16,חילוני,1,1.3,22.6,30.4,61.2,66,26.6
חולון,6600,223,223,3180,,,1,יהודים,91.7,,,29.1,54.2,16.7,845,37,34,38,34.8,56.2,76.3,23.7,20.2,11.2,42.3,22.6,8.3,25.3,1.5,ישראל,24,26,23,2,13.9,37.4,16.4,67.4,86.2,13.8,35.8,21.6,52.2,87000,11.5,75500,15.5,1180,2.7,16.1,20.8,חילוני,1,1,29.9,21.7,33.5,58.2,34.6
חולון,6600,224,224,2110,,,1,יהודים,84.5,,,29.6,48.1,22.3,1079.2,39,39,40,30.3,67,74.1,25.9,13,9,41.4,16.8,9.8,30.4,1.5,ישראל,25,26,23,1.9,11.1,32.1,20.4,65.2,88,12,38.5,16.7,60.1,113500,15.3,51900,16.2,780,2.7,17.9,19.1,חילוני,1,1.3,26.8,26.3,46.8,75.7,23.8
חולון,6600,225,225+111+112+113+114+115,4970,,,1,יהודים,104.9,,,26.1,54.1,19.8,848.9,39,36,40,34.6,74.4,79.4,20.6,12.4,5.9,47.8,26.8,7.2,16.7,1.5,ישראל,24,25,22,2.2,13.2,34.4,14.9,64.3,86.8,12.6,39.6,13.7,58.2,113500,17.2,91500,11.4,1800,2.8,14.2,21.6,מסורתי,2,1.1,21,32.3,48.6,61.2,25
חולון,6600,311,311,2310,,,1,יהודים,99.2,,,28.6,51.4,20,944.1,41,37,44,18.3,78.5,80.8,19.2,12.3,8.2,46,22.1,8.3,21.8,1.8,ישראל,25,27,24,2.1,10.7,34.5,24.5,66.9,79.7,20.3,36.4,11.8,58.9,122500,28.5,144000,29.9,810,2.8,15.1,22.3,חילוני,1,1.5,15.1,44,53.8,73.2,20.5
חולון,6600,312,312,2690,,,1,יהודים,88.7,,,30.8,50.9,18.3,965.6,39,37,41,27.4,70.8,80.5,19.5,14.8,8.9,46.4,18,8.2,25.6,1.8,ישראל,25,27,23,1.8,15.3,48.5,28.3,67.5,89.2,10.8,42,19.5,65,115500,25.9,126400,32.3,1020,2.6,13.4,21.8,חילוני,1,1.5,24.3,29.2,59.2,61,34.8
חולון,6600,313,313,3420,,,1,יהודים,88.6,,,23,52.3,24.7,910.8,43,40,45,26.4,64.3,68.7,31.3,21.2,12.6,37.5,19.7,8,33.2,1.6,ישראל,25,27,23,2,12.9,40.4,24.4,65.5,86.9,13.1,38.5,21,67.1,117700,20.7,71800,30.1,1400,2.4,11.2,16.8,חילוני,1,1.2,32.1,21.1,52.7,59.1,34.3
חולון,6600,314,314,3020,,,1,יהודים,86.9,,,25.3,55.6,19,797.3,39,36,43,30.1,51.2,63.2,36.8,24.9,15.4,32.7,14.4,7.5,43.5,1.9,ישראל,26,27,24,1.8,15.5,47.5,23.3,68,83.6,16.2,42.8,9.6,68.8,112400,14.3,83500,23.7,1340,2.2,13.6,11.6,חילוני,1,1.1,36.2,12.7,32.6,39.8,51.7
חולון,6600,321,321,4530,,,1,יהודים,92.9,,,24.5,56.2,19.3,778,38,36,41,39.6,52.2,68,32,26.2,17.7,37.7,15.4,6.8,37.5,2.6,ישראל,26,27,24,1.6,12.1,43.7,27.8,70.6,88.5,11.5,40.2,25,66.1,112700,19.8,100300,16.2,1840,2.4,18.4,11.9,חילוני,1,1.4,29.2,19.3,61.5,48.5,47.4
חולון,6600,322,322,2970,,,1,יהודים,91.1,,,30.2,51.4,18.4,945,39,38,39,30.2,73.1,78.3,21.7,9.5,6,47.4,14.6,6.9,29,2.1,ישראל,27,27,25,2,7.1,28.3,33.8,69.8,80,20,38,25,64.1,149400,30.1,103100,32.4,1080,2.7,17.9,13.4,חילוני,1,1.6,12.5,36.8,74,64.3,33.3
חולון,6600,323,323,3720,,,1,יהודים,89.8,,,25.2,55,19.8,819.3,39,39,40,28.9,65.1,65.2,34.8,24.7,16.8,33.5,13.7,7.4,43.1,2.2,ישראל,25,26,24,1.7,13.6,43.1,29.5,69.8,85.1,14.7,39.9,10.9,62.2,112700,18.5,68800,15.8,1550,2.4,13.3,15.1,חילוני,1,1.1,32.2,13.3,37,45.9,48.2
חולון,6600,324,324,3050,,,1,יהודים,91.2,,,23.2,53.2,23.6,881.1,42,39,45,22.7,60,59.1,40.9,19.8,11.6,27.4,13.3,7,50.7,1.7,ישראל,24,26,22,1.7,16.4,50.1,23.7,66.9,86.8,13.2,36.2,36.5,60.5,109500,11.4,54900,9.8,1330,2.3,11.9,14.3,חילוני,1,1.1,41.8,15.5,32.7,49.2,46.2
חולון,6600,331,331,3010,,,1,יהודים,80.7,,,25.6,51.5,22.9,942.7,42,41,42,32.9,63.6,64.1,35.9,23.1,12.8,32.2,18.7,8.6,38.6,1.9,ישראל,24,26,22,2,11.9,35.8,22.6,63.5,84.8,15.2,39.8,15.3,68.5,102700,17.4,83300,12.8,1210,2.4,13.9,13.2,חילוני,1,1.1,33.2,18.8,41.5,50.2,45.6
חולון,6600,332,332,2340,,,1,יהודים,83,,,23.2,57.8,19,731.2,37,34,40,25.6,48.9,63.6,36.4,26.8,18.2,33.8,13.6,5.9,44.3,2.4,ישראל,25,28,24,1.6,12.3,31.5,24.3,67.3,89.2,10.8,42.2,15,69.8,100800,12.8,48800,6.6,1050,2.2,14.3,16.8,חילוני,1,1.1,43.1,15.1,46,45.7,49.4
חולון,6600,333,333,2600,,,1,יהודים,73,,,18.8,56.4,24.8,772.4,45,42,46,33,53.3,61.7,38.3,19.8,11.3,31.8,17.6,6.6,42.1,1.9,ישראל,24,26,22,1.6,19.8,54.7,20.4,61.8,91,9,38.1,19,52,93700,15.6,65100,9.8,1170,2.1,10.8,17.8,חילוני,1,1.2,47.1,10.2,42.3,57.8,38.1
חולון,6600,334,334,2190,,,1,יהודים,72.4,,,19.4,41.9,38.7,1387.8,51,44,58,31,60.1,61.8,38.2,7.8,4.1,32.2,20.1,9.1,37,1.6,ישראל,25,28,23,2,18.7,48.2,22.5,60,83.8,15.8,36.9,32.6,61.4,126600,17.8,87200,11,800,2.3,12.9,10.5,חילוני,1,1.2,37.4,16.8,44,47.2,45.1
חולון,6600,335,335,4390,,,1,יהודים,95.2,,,26.6,54.1,19.4,850,37,33,41,27.3,67.8,75,25,16.5,8.7,42.2,20.2,8.8,26.7,2,ישראל,25,27,24,1.9,13.3,42,21.7,69,83.4,16.3,37.3,16.7,61,94100,17,80700,20.6,1710,2.5,16.8,17,חילוני,1,1.2,31.2,23.4,37.6,56,39.1
חולון,6600,411,411,5680,,,1,יהודים,99.8,,,33,52,15.1,924.5,35,34,37,32,80.6,76.4,23.6,11.7,7.1,43.1,17,7.2,31.5,1.1,ישראל,25,26,23,2,8.3,33.7,28.7,71.4,85.2,14.7,40,18.7,71.1,130800,31.5,122800,38,1840,3.1,20.5,19.6,חילוני,1,1.5,15.3,39.8,88,67.9,27.8
חולון,6600,412,412,3340,,,1,יהודים,96.1,,,24.8,56.3,18.9,777.4,36,34,40,28.8,56.9,67.2,32.8,22.7,16.6,37.7,13.7,6.9,39.6,2.2,ישראל,24,26,23,1.7,12,31.7,26.3,69.8,93,7,39.7,50.2,70.8,109000,17.2,151200,22.5,1410,2.3,15.5,15.7,חילוני,1,1.3,27.1,18.1,31.4,50.1,42.6
חולון,6600,413,413,3860,,,1,יהודים,86.9,,,28.2,51.5,20.4,942.9,41,39,42,19.5,84.4,76.8,23.2,12.4,6.6,42.8,19.9,8.3,27.2,1.7,ישראל,25,27,23,2.2,9.5,31.9,26.9,65.5,89.5,10.3,40,12,67.8,146600,32.8,113900,31,1310,2.9,13,24.3,חילוני,1,1.6,15.2,38.3,90.9,71.9,21.6
חולון,6600,421,421,4300,,,1,יהודים,98.1,,,31.2,48.3,20.6,1071.5,41,39,41,21.2,81.5,76.3,23.7,8.6,4.5,42.8,20.9,8.7,26.2,1.4,ישראל,25,27,23,2.1,11.6,34.3,27.7,65.3,84.9,15.1,38.6,23.2,64.3,133400,27.5,103600,25.8,1400,3.1,18.5,25.3,חילוני,1,1.6,10.2,41.7,98.5,76.1,19.8
חולון,6600,422,422,5140,,,1,יהודים,96.7,,,35.3,51.8,12.8,929.1,34,31,36,22.3,88.8,82.5,17.5,11.3,5.3,49.4,18.1,9,22,1.4,ישראל,25,26,23,2,7.3,26.6,26.3,75.3,87.4,12.6,41.1,27,67.6,144700,31.5,110300,24.2,1510,3.4,15.4,30.4,חילוני,1,1.7,7.7,49.3,95.5,68.5,27.5
חולון,6600,431,431,5340,,,1,יהודים,100.7,,,36,51.4,12.6,945.6,33,28,36,19.5,87.1,83.4,16.6,10.4,6.9,51.8,17.7,7.5,21.6,1.3,ישראל,25,27,24,1.9,6,22,27.4,69.2,86.1,13.7,41.5,13.6,65.6,135600,29.5,112200,38.5,1510,3.5,20.6,29,חילוני,1,1.7,7.6,58,95.8,74.4,22.7
חולון,6600,432,432,3050,,,1,יהודים,101,,,35.2,52.5,12.3,903.6,34,35,32,23.5,87.8,84.4,15.6,11.9,6.7,52.2,18,8.7,19.8,1.3,ישראל,25,27,23,1.8,5.9,22.7,25.3,72.3,86,13.7,40.1,20,64.7,131400,29.1,100300,29.6,930,3.3,21.7,24.2,חילוני,1,1.6,1.2,48.5,95.5,72.2,17.6
חולון,6600,512,512+511,3600,,,1,יהודים,96.9,,,25.9,56.5,17.6,770.4,37,34,40,25.7,56.6,57.9,42.1,35.8,17.8,26.2,14.4,24.9,33.8,0.7,ישראל,23,25,22,2.3,14.8,52.8,9.2,62.2,93.5,6.5,39.7,11.4,64.2,83900,5,103200,16.7,1360,2.6,11.9,24,חילוני,1,0.8,43.5,9.3,27.3,56.9,28.8
חולון,6600,513,513,1140,,,1,יהודים,96.4,,,24,58.9,17.2,699.2,45,38,49,18.1,66.2,58.4,41.6,11.3,5.9,26.3,13.4,10,49.7,0.6,ישראל,24,25,23,1.8,11.3,26.5,26.1,69.9,84.6,15.4,39.9,9.1,79.9,98100,18.2,78000,,460,2.5,12.1,14.8,חילוני,1,1.1,24.2,22.9,89.6,78.2,14.7
חולון,6600,514,514,4750,,,1,יהודים,96,,,28.9,57.6,13.5,734.7,34,33,37,41.6,57.1,53.4,46.6,43.1,23.4,26,9.8,17.7,45.6,0.9,ישראל,24,26,23,1.7,14.4,48.6,13.1,70.2,94.8,4.9,39.1,20.8,60.4,94500,6.7,72800,15.7,1920,2.4,20.1,11.8,חילוני,1,1.1,44.1,9,12.9,48.3,46.1
חולון,6600,521,521,4380,,,1,יהודים,95.3,,,27.4,53.1,19.5,883.4,37,36,39,33.6,64.7,76,24,16.6,8.3,44,16.6,12.9,25,1.5,ישראל,25,27,24,2,12.4,36.2,18.3,63.4,86.5,13.5,41.4,10.4,57,102600,13,54300,7.2,1680,2.5,18.9,16.1,חילוני,1,1,29.6,24.3,33,58.3,35.3
חולון,6600,522,522,3040,,,1,יהודים,91.3,,,27.8,50.8,21.4,968.3,40,41,40,23.6,76.1,79,21,10.1,6.7,44.6,22.4,8.9,22.3,1.7,ישראל,24,25,23,2.1,11,29.5,21.6,69.4,87.3,12.7,40.1,19.7,67.1,116500,24.9,107100,22.7,1020,2.9,15.2,23.8,חילוני,1,1.4,14.7,40.4,87.1,72,25.6
חולון,6600,523,523,4160,,,1,יהודים,97,,,31,49.8,19.3,1009,37,35,38,35.9,62.3,80.3,19.7,12.6,7.5,48.1,19.5,10.1,20.9,1.4,ישראל,24,26,23,2.1,14.6,43.3,17.8,68,83.8,16.2,39.5,26.7,64.7,105100,23.1,102800,17.2,1560,2.6,19.9,15.2,חילוני,1,1.1,21.9,27.7,39.8,61.7,33.8
חולון,6600,611,611,3830,,,1,יהודים,86,,,27.9,52.1,20,920.8,39,37,41,34.4,64.4,67.8,32.2,17.4,10.3,36.7,21.6,9.7,31,1,ישראל,24,27,22,2,10.4,23.3,20.5,73.1,86.7,12.7,37.4,21,66.4,109200,17.5,91900,14.6,1500,2.5,18.9,14.7,חילוני,1,1.1,25.6,20.9,65.4,63.5,32.7
חולון,6600,612,612,2340,,,1,יהודים,77.4,,,23.2,51.4,25.4,944.5,42,39,43,35.1,65.5,53.8,46.2,19.7,10,22.7,18.6,6.4,50.5,1.8,ישראל,24,26,22,1.9,13.3,37.5,28.6,62.3,88.6,11,38.9,10.8,69.5,106700,17.5,78300,17.2,910,2.5,12.8,12.9,חילוני,1,1.2,29.9,13.5,61.4,66.7,29.7
חולון,6600,613,613,2630,,,1,יהודים,85.1,,,24.6,51.8,23.5,929.9,41,36,45,28.3,72,57.5,42.5,14.8,8.8,25.8,16.7,6.3,49.7,1.4,ישראל,24,27,22,2.1,15.2,40.7,19.2,63.2,83.4,16.6,42.2,26,65.4,109400,16,54400,9.4,960,2.6,17.6,16,חילוני,1,1.1,34.2,21.1,29.9,77.9,19.9
חולון,6600,614,614,4610,,,1,יהודים,89.8,,,26.2,55,18.8,819.7,37,35,39,32.6,65.9,69.4,30.6,19.8,11.8,38.6,22,8.8,29.2,1.4,ישראל,25,27,23,1.8,14.3,44.9,19.6,70.8,87.7,12,36.9,17.5,71.2,106100,12,72400,14.8,1840,2.5,18.7,15.6,חילוני,1,1.2,26.2,20.5,49.9,61.2,30.8
חולון,6600,615,615,2780,,,1,יהודים,95.4,,,25.6,53.8,20.6,859.5,41,35,46,25.4,48.8,55.5,44.5,22.6,11.5,25.2,21.5,9.2,43,1,ישראל,24,26,22,1.8,14.8,41.8,9.7,67.5,89.8,10.2,37.1,12.3,62.2,90700,4.8,68800,6.9,1150,2.4,14.1,18.4,חילוני,1,0.8,37.6,9.8,35.8,54.9,37.6
חולון,6600,621,621,5530,,,1,יהודים,97.5,,,32.1,53,14.9,888.2,33,32,34,42,70.2,72.3,27.7,24.2,13.9,41,21.1,10.2,27.1,0.7,ישראל,23,25,22,2.3,11.1,37.1,10.7,67.3,84.1,15.9,33.7,8.9,60.5,82500,6.3,77300,13.6,1940,2.8,18.9,21.8,חילוני,1,0.8,36.1,18.8,25.7,60.3,32
חולון,6600,622,622,4560,,,1,יהודים,100.3,,,30.6,54.3,15.1,841.4,36,34,38,28.1,77.6,63.5,36.5,5.4,2.5,27.8,12.4,4.3,54.8,0.8,ישראל,24,25,22,2.1,12.3,45.1,19.2,68.7,89.2,10.6,37.3,10,69.1,116100,16.6,84100,15.4,1500,3,16.9,25.1,מסורתי,2,1.1,24.2,26.5,90.2,77.3,19.5
חולון,6600,623,623+624,4140,,,1,יהודים,99.7,,,29.3,52.3,18.4,913.3,38,36,39,42.3,59.1,69.3,30.7,14.9,7.2,36.5,15.5,11.3,35.3,1.4,ישראל,24,26,22,2.2,15.1,44.9,12.7,63.5,85.4,14.6,38.5,13.7,69.3,101700,12.6,117400,20,1510,2.6,17.8,14.2,חילוני,1,1,32,22.1,26.5,62.6,30
חולון,6600,631,631,3410,,,1,יהודים,90.6,,,25.4,53.5,21.1,870.9,40,36,44,46,50.7,62.2,37.8,20.2,10.6,29.9,17,8.1,43.6,1.4,ישראל,24,27,23,1.9,17.3,52,17.5,69.4,88.6,11.4,35,33.6,68.8,89600,12.6,67500,12.4,1380,2.4,15.1,13.3,חילוני,1,1.1,37.8,11.4,36.2,49,47.7
חולון,6600,632,632,4010,,,1,יהודים,94.4,,,24.7,55,20.3,818.9,38,38,39,35.4,71.3,68.6,31.4,19,9.9,35.9,23.4,7.4,32.3,1.1,ישראל,24,26,22,2,14.1,52.7,16.9,70,90.7,9.3,40.2,40.3,64.9,99700,11.2,81600,22.2,1610,2.5,14.8,16.2,חילוני,1,1.1,34.3,16.7,48.9,53.7,40.1
חולון,6600,633,633,4230,,,1,יהודים,97,,,28.6,53.6,17.8,867,35,33,38,36.1,60.6,70.1,29.9,22.3,13.5,40.2,22.9,7.7,28,1.1,ישראל,24,25,22,2.1,12.8,38.3,14.2,69.9,87.1,12.6,39.8,11.8,64.3,95200,8,63200,8.5,1620,2.5,17.8,19.3,חילוני,1,1.1,32.6,17.9,52,61.9,33.1
חולון,6600,711,711,1370,,,1,יהודים,86.2,,,41,51.6,7.4,938.8,28,32,28,38.6,87.3,87.4,12.6,7.1,4.2,54.9,13.3,8.8,20.9,2,ישראל,25,26,23,1.9,5.1,19.8,25,78.6,82,18,39.3,16.6,62.6,157400,30.5,135100,24.4,380,3.5,25.9,22.6,מסורתי,2,1.9,7.8,57.5,97.9,60,31.5
חולון,6600,712,712,4570,,,1,יהודים,100.9,,,31.2,55.1,13.7,814.1,37,32,40,22.1,86,81.7,18.3,7.5,3,47.7,18.1,8.3,24.5,1.5,ישראל,25,26,23,2,7.3,32.9,24.9,72,88,11.8,42.2,19.2,69,134600,31.9,110200,26.3,1370,3.3,17.6,26.6,חילוני,1,1.6,10.2,48.1,98.1,84.9,11.3
חולון,6600,721,721,2950,,,1,יהודים,96.7,,,27.6,50.6,21.8,976.8,40,38,43,24.7,73,74.6,25.4,8.8,3.6,40.5,18.9,10,29.6,1,ישראל,25,26,23,2.1,10.4,30.8,20.5,68,89.2,10.8,38.5,16.2,68.6,113000,21.8,87600,16.1,1010,2.9,13.8,19.5,חילוני,1,1.3,15.3,31.7,96.6,83.7,13.3
חולון,6600,722,722,4090,,,1,יהודים,95,,,23.7,53.7,22.6,862.3,40,39,42,23.3,79.6,70.9,29.1,13.2,4.4,34.9,15.7,11.9,36.2,1.2,ישראל,24,26,23,1.9,12.3,33.7,18.7,69,87,13,39.2,30.1,70.9,114500,16.8,110600,26.3,1510,2.7,13.1,24.2,חילוני,1,1.3,18,30.2,88.7,74.3,17.7
חולון,6600,723,723,2810,,,1,יהודים,93.2,,,25,51.5,23.5,941.9,44,42,45,25.1,71.9,74,26,12.6,4.1,36.5,17.4,13.3,31.6,1.3,ישראל,24,26,22,2.2,12.9,30,22.3,63.5,92.1,7.9,39.3,20.6,72,129300,20.4,159900,37.9,1070,2.6,11.6,13.4,חילוני,1,1.4,15.9,31.7,91.9,77,19.5
חולון,6600,724,724,3100,,,1,יהודים,96.9,,,24.5,57,18.6,755.2,42,38,44,24.5,84.4,77.6,22.4,9.4,4.8,43.4,16.9,9.4,29.6,0.7,ישראל,24,26,23,2,11.2,33.8,21.9,71.5,85.3,14.3,38.9,8.1,68.9,123600,24.1,98300,11.5,1020,3,13.5,24.1,חילוני,1,1.5,12.3,41.3,93.8,74,20.4
חולון,6600,725,725,2280,,,1,יהודים,95.8,,,24.3,59.5,16.2,679.9,39,37,42,20.9,85.6,79.5,20.5,11.4,6.4,42.9,18.1,10.4,27.2,1.4,ישראל,24,26,23,2,9.5,32.3,22.2,73.5,87.9,12.1,41.3,21.5,72.4,122700,21.1,80100,17.2,730,3.1,15.9,20.8,חילוני,1,1.6,14.6,41.6,96,73.5,22.2
חולית,1239,,,220,111.6,1874.6,1,יהודים,109.2,,1.3,46.7,51.2,2.1,951.3,27,27,24,15.9,92.2,84.5,15.5,21.5,6.6,48.1,2.7,13.2,20.3,15.7,ישראל,26,27,25,1.7,5,,27,86.6,86.8,13.2,40.2,13,61.3,110000,20.5,87400,,80,2.6,27.4,9,חילוני,1,1.6,11.4,30.2,29.2,24.1,32.2
חולתה,253,,,680,31.9,2701.5,1,יהודים,99.2,,2.8,36.7,49.6,13.7,1015.6,34,32,36,28.8,73.6,90.9,9.1,18.3,2.7,61.5,5.4,6.4,20.2,6.5,ישראל,26,27,25,2.1,3,3.6,39.9,76.5,78,19.8,37.6,28.4,59.1,115900,21,38500,22.3,230,2.9,27.3,9.8,חילוני,1,1.5,9.6,38.7,61.1,69.2,27.5
חוסן,662,,,1220,41.9,2006.6,1,יהודים,108,,6.4,35.4,56.2,8.3,778,31,33,29,25.7,84,85.5,14.5,12.5,3.1,53.4,4.9,25.9,14.4,1.4,ישראל,26,27,24,2.2,8.4,35.2,15,73.1,82.9,17.1,40.7,24.3,78.8,112300,17.1,123000,19.7,360,3.2,23.3,28.2,מסורתי,2,1.3,13.9,53.5,90.4,60.4,27.5
חוסנייה,1332,,,910,72,5061,2,מוסלמים,128.3,,,40.4,53.6,6,866.5,25,24,26,30.9,94.8,,,,,,,,,,,23,25,22,2.8,8.4,29.9,13,59.7,95.7,4.3,47.2,8.7,76.7,93000,11.5,30300,21.2,200,4.5,36.4,36.9,מסורתי,2,0.6,36.8,32.2,55.4,72.2,3.9
חופית,115,,,910,20.8,2751.9,1,יהודים,85.1,,2.3,30.6,54.5,14.9,836.2,33,35,32,13.6,72.9,86.4,13.6,39,22.9,58.8,4.5,4.6,22.9,9.1,ישראל,28,29,26,1.6,6,20.2,45.2,73.7,70.4,29.6,37,27.5,72,117000,36.4,88900,20.7,310,2.9,18.6,18.9,חילוני,1,2,4.9,58,87.9,57,33
חוקוק,374,,,670,71.2,2666.9,1,יהודים,101.6,,5.4,37.5,50,12.4,998.6,33,29,36,27.6,48.7,81.5,18.5,39.7,26.5,54.1,5.2,9.9,19.4,11.5,ישראל,27,28,26,2,6.9,26.3,26.7,71.1,64,28.3,39.4,23.4,40.8,85300,10.2,66800,9.4,220,2.9,20.9,15.9,חילוני,1,1.5,16.6,28.2,68.4,49.2,36.7
חורה,1303,,,20670,29.4,4288.5,2,מוסלמים,95.2,0,0,55.6,42.4,1.9,1356.5,17,17,18,53.1,83.8,,,,,,,,,,,21,23,20,3.7,7.5,73.9,7.8,36.3,67.9,31.9,36.5,1.3,55.2,81200,8.4,90400,23.7,4740,4.4,42.6,41.7,דתי/ דתי מאוד,3,0.4,51.3,8.6,37.6,72.2,7.4
חורה,1303,1,1,1700,,,2,מוסלמים,96.7,,,61.1,37.7,1.2,1653.6,15,16,14,50.2,77,,,,,,,,,,,21,23,19,4,1.8,50,7.2,52.1,91.4,8.6,26.9,,62.4,80900,4.8,51800,,410,3.9,45,44.2,מסורתי,2,0.4,47.5,11.4,77.7,66.4,11.9
חורה,1303,2,2,8720,,,2,מוסלמים,106.7,,,60.7,38.2,1.1,1620.3,15,15,15,51.1,89.9,,,,,,,,,,,20,21,19,3.9,12.4,93.5,1.7,28,12.2,87.2,52.1,1.9,63.6,54100,11.7,90400,19.7,1380,5.8,50.4,49.5,דתי/ דתי מאוד,3,0.3,47.4,10.5,18.5,67,1.4
חורה,1303,3,3,5740,,,2,מוסלמים,83,,,47.1,49.2,3.6,1031.7,21,20,21,48.6,78.1,,,,,,,,,,,22,24,20,3.1,6.1,78.9,13.2,41.8,86.5,13.5,32.7,1.5,49.5,98100,9.4,56500,44,1480,3.7,35.7,42.2,דתי/ דתי מאוד,3,0.6,50.5,10.1,52.9,81.4,3.8
חורה,1303,4,4,4510,,,2,מוסלמים,90.2,,,54.6,43.9,1.5,1280.1,18,18,18,64.2,85.1,,,,,,,,,,,21,22,20,3.9,3.1,25,9.7,35.3,94.3,5.7,33.5,,48,68000,5.3,152200,39.2,1090,3.8,44.9,27.2,מסורתי,2,0.3,58.4,3.6,29.4,65.8,28.7
חורפיש,496,,,6540,21.3,3576.1,5,דרוזים,108.3,0.6,0.1,32.8,60.6,6.6,650.3,29,28,30,39.7,88.9,,,,,,,,,,,24,26,22,2.5,11.3,56.1,22.5,61.1,84.3,15.7,38.2,1.6,54.3,102900,19.1,44500,12.5,1900,3.4,25,27.8,מסורתי,2,1.4,17.5,38.8,79.8,77.3,4.6
חורשים,355,,,310,7.5,2088.9,1,יהודים,90.9,,5.4,27.6,53.4,19.1,873.6,38,38,37,32.7,59.7,83.7,16.3,13.3,9.1,43.4,4.9,14.4,26.4,10.9,ישראל,27,28,26,2,6.3,15.6,37.2,72,84.5,13.7,42.6,14.9,60.3,123100,23.1,70900,32.2,110,2.6,24.2,11.9,חילוני,1,1.8,7.2,31.7,53.4,27.3,31
חזון,1047,,,340,20.1,1058.1,1,יהודים,100,,1.5,27.7,42,30.4,1383.7,39,40,37,31.2,77.5,80.3,19.7,,,45.7,3.3,45.8,5.2,,ישראל,23,24,20,3.7,18.2,51.2,9,57.5,61.4,38.6,39.2,27.7,55.9,99900,21.9,75400,23.6,120,2.8,18.4,16.4,מסורתי,2,1,15.9,41.5,78.8,68.4,7.3
